Tanggal;IR Med
2017-01-01;8558
2017-01-02;8558
2017-01-03;8533
2017-01-04;8558
2017-01-05;8533
2017-01-06;8558
2017-01-07;8558
2017-01-08;8558
2017-01-09;8533
2017-01-10;8533
2017-01-11;8500
2017-01-12;8533
2017-01-13;8533
2017-01-14;8558
2017-01-15;8558
2017-01-16;8533
2017-01-17;8533
2017-01-18;8533
2017-01-19;8533
2017-01-20;8533
2017-01-21;8558
2017-01-22;8558
2017-01-23;8533
2017-01-24;8533
2017-01-25;8533
2017-01-26;8533
2017-01-27;8700
2017-01-28;8558
2017-01-29;8558
2017-01-30;8700
2017-01-31;8700
2017-02-01;8700
2017-02-02;8700
2017-02-03;8700
2017-02-04;8688
2017-02-05;8688
2017-02-06;8700
2017-02-07;8700
2017-02-08;8700
2017-02-09;8700
2017-02-10;8700
2017-02-11;8688
2017-02-12;8688
2017-02-13;8700
2017-02-14;8688
2017-02-15;8688
2017-02-16;8688
2017-02-17;8700
2017-02-18;8688
2017-02-19;8688
2017-02-20;8700
2017-02-21;8700
2017-02-22;8700
2017-02-23;8700
2017-02-24;8700
2017-02-25;8688
2017-02-26;8688
2017-02-27;8600
2017-02-28;8600
2017-03-01;8600
2017-03-02;8600
2017-03-03;8600
2017-03-04;8494
2017-03-05;8494
2017-03-06;8600
2017-03-07;8600
2017-03-08;8600
2017-03-09;8600
2017-03-10;8600
2017-03-11;8494
2017-03-12;8494
2017-03-13;8600
2017-03-14;8600
2017-03-15;8600
2017-03-16;8600
2017-03-17;8600
2017-03-18;8494
2017-03-19;8494
2017-03-20;8600
2017-03-21;8366
2017-03-22;8300
2017-03-23;8300
2017-03-24;8300
2017-03-25;8494
2017-03-26;8494
2017-03-27;8300
2017-03-28;8494
2017-03-29;8300
2017-03-30;8300
2017-03-31;8300
2017-04-01;8400
2017-04-02;8400
2017-04-03;8300
2017-04-04;8300
2017-04-05;8300
2017-04-06;8300
2017-04-07;8300
2017-04-08;8400
2017-04-09;8400
2017-04-10;8300
2017-04-11;8300
2017-04-12;8300
2017-04-13;8400
2017-04-14;8400
2017-04-15;8400
2017-04-16;8400
2017-04-17;8500
2017-04-18;8400
2017-04-19;8500
2017-04-20;8500
2017-04-21;8500
2017-04-22;8400
2017-04-23;8400
2017-04-24;8400
2017-04-25;8500
2017-04-26;8500
2017-04-27;8500
2017-04-28;8500
2017-04-29;8400
2017-04-30;8400
2017-05-01;8617
2017-05-02;8500
2017-05-03;8500
2017-05-04;8500
2017-05-05;8500
2017-05-06;8617
2017-05-07;8617
2017-05-08;8500
2017-05-09;8500
2017-05-10;8500
2017-05-11;8617
2017-05-12;8500
2017-05-13;8617
2017-05-14;8617
2017-05-15;8617
2017-05-16;8617
2017-05-17;8500
2017-05-18;8500
2017-05-19;8500
2017-05-20;8617
2017-05-21;8617
2017-05-22;8500
2017-05-23;8700
2017-05-24;8700
2017-05-25;8617
2017-05-26;8700
2017-05-27;8617
2017-05-28;8617
2017-05-29;9000
2017-05-30;9000
2017-05-31;9000
2017-06-01;9000
2017-06-02;9000
2017-06-03;9000
2017-06-04;9000
2017-06-05;9000
2017-06-06;9000
2017-06-07;9000
2017-06-08;9000
2017-06-09;9000
2017-06-10;9000
2017-06-11;9000
2017-06-12;9000
2017-06-13;9000
2017-06-14;9000
2017-06-15;9000
2017-06-16;9000
2017-06-17;9000
2017-06-18;9000
2017-06-19;9000
2017-06-20;9000
2017-06-21;9000
2017-06-22;9000
2017-06-23;9000
2017-06-24;9000
2017-06-25;9000
2017-06-26;9000
2017-06-27;9000
2017-06-28;9000
2017-06-29;9000
2017-06-30;9000
2017-07-01;9000
2017-07-02;9000
2017-07-03;9000
2017-07-04;9000
2017-07-05;9000
2017-07-06;9000
2017-07-07;9000
2017-07-08;9000
2017-07-09;9000
2017-07-10;9000
2017-07-11;9000
2017-07-12;9000
2017-07-13;9000
2017-07-14;9000
2017-07-15;9000
2017-07-16;9000
2017-07-17;9000
2017-07-18;9000
2017-07-19;9000
2017-07-20;9000
2017-07-21;9000
2017-07-22;9000
2017-07-23;9000
2017-07-24;9000
2017-07-25;9000
2017-07-26;9000
2017-07-27;9000
2017-07-28;9000
2017-07-29;9000
2017-07-30;9000
2017-07-31;9000
2017-08-01;9000
2017-08-02;9000
2017-08-03;9000
2017-08-04;9000
2017-08-05;9000
2017-08-06;9000
2017-08-07;9000
2017-08-08;9000
2017-08-09;9000
2017-08-10;9000
2017-08-11;9000
2017-08-12;9000
2017-08-13;9000
2017-08-14;9000
2017-08-15;9000
2017-08-16;9000
2017-08-17;9000
2017-08-18;9000
2017-08-19;9000
2017-08-20;9000
2017-08-21;9000
2017-08-22;9000
2017-08-23;9000
2017-08-24;9000
2017-08-25;9000
2017-08-26;9000
2017-08-27;9000
2017-08-28;9000
2017-08-29;9000
2017-08-30;9000
2017-08-31;9000
2017-09-01;9696
2017-09-02;9696
2017-09-03;9696
2017-09-04;9500
2017-09-05;9500
2017-09-06;9500
2017-09-07;9500
2017-09-08;9500
2017-09-09;9696
2017-09-10;9696
2017-09-11;9500
2017-09-12;9500
2017-09-13;9800
2017-09-14;9800
2017-09-15;9800
2017-09-16;9696
2017-09-17;9696
2017-09-18;9800
2017-09-19;9800
2017-09-20;9800
2017-09-21;9696
2017-09-22;9800
2017-09-23;9696
2017-09-24;9696
2017-09-25;9800
2017-09-26;9800
2017-09-27;9800
2017-09-28;9800
2017-09-29;9933
2017-09-30;9696
2017-10-01;9933
2017-10-02;9933
2017-10-03;9933
2017-10-04;9933
2017-10-05;9933
2017-10-06;9933
2017-10-07;9933
2017-10-08;9933
2017-10-09;9933
2017-10-10;9933
2017-10-11;9933
2017-10-12;9933
2017-10-13;9933
2017-10-14;9933
2017-10-15;9933
2017-10-16;9933
2017-10-17;9933
2017-10-18;9933
2017-10-19;9933
2017-10-20;9933
2017-10-21;9933
2017-10-22;9933
2017-10-23;9933
2017-10-24;9933
2017-10-25;9933
2017-10-26;9933
2017-10-27;9933
2017-10-28;9933
2017-10-29;9933
2017-10-30;9933
2017-10-31;9933
2017-11-01;9933
2017-11-02;9933
2017-11-03;9933
2017-11-04;9991
2017-11-05;9991
2017-11-06;10000
2017-11-07;10000
2017-11-08;10000
2017-11-09;10000
2017-11-10;10000
2017-11-11;9991
2017-11-12;9991
2017-11-13;10000
2017-11-14;10000
2017-11-15;10000
2017-11-16;10000
2017-11-17;10000
2017-11-18;9991
2017-11-19;9991
2017-11-20;10000
2017-11-21;10000
2017-11-22;10000
2017-11-23;10000
2017-11-24;10000
2017-11-25;9991
2017-11-26;9991
2017-11-27;10000
2017-11-28;10000
2017-11-29;10000
2017-11-30;10000
2017-12-01;10174
2017-12-02;10174
2017-12-03;10174
2017-12-04;10000
2017-12-05;10000
2017-12-06;10000
2017-12-07;10000
2017-12-08;10000
2017-12-09;10174
2017-12-10;10174
2017-12-11;10000
2017-12-12;10000
2017-12-13;10000
2017-12-14;10000
2017-12-15;10000
2017-12-16;10174
2017-12-17;10174
2017-12-18;10000
2017-12-19;10000
2017-12-20;10000
2017-12-21;10000
2017-12-22;10133
2017-12-23;10174
2017-12-24;10174
2017-12-25;10174
2017-12-26;10174
2017-12-27;11000
2017-12-28;11000
2017-12-29;11000
2017-12-30;10174
2017-12-31;10174
2018-01-01;11989
2018-01-02;11133
2018-01-03;11300
2018-01-04;11300
2018-01-05;11400
2018-01-06;12000
2018-01-07;12000
2018-01-08;12000
2018-01-09;12000
2018-01-10;12000
2018-01-11;12000
2018-01-12;12000
2018-01-13;11989
2018-01-14;11989
2018-01-15;12200
2018-01-16;12200
2018-01-17;12200
2018-01-18;12200
2018-01-19;12200
2018-01-20;11989
2018-01-21;11989
2018-01-22;12200
2018-01-23;12200
2018-01-24;12200
2018-01-25;12200
2018-01-26;12200
2018-01-27;11989
2018-01-28;11989
2018-01-29;12200
2018-01-30;12200
2018-01-31;12200
2018-02-01;12066
2018-02-02;12000
2018-02-03;11239
2018-02-04;11239
2018-02-05;11500
2018-02-06;11500
2018-02-07;11500
2018-02-08;11500
2018-02-09;11500
2018-02-10;11239
2018-02-11;11239
2018-02-12;11500
2018-02-13;11500
2018-02-14;11300
2018-02-15;11000
2018-02-16;11239
2018-02-17;11239
2018-02-18;11239
2018-02-19;11000
2018-02-20;11000
2018-02-21;11239
2018-02-22;11000
2018-02-23;10733
2018-02-24;11239
2018-02-25;11239
2018-02-26;10566
2018-02-27;10566
2018-02-28;10566
2018-03-01;10250
2018-03-02;10000
2018-03-03;9885
2018-03-04;9885
2018-03-05;9766
2018-03-06;9766
2018-03-07;9766
2018-03-08;9766
2018-03-09;9766
2018-03-10;9885
2018-03-11;9885
2018-03-12;9766
2018-03-13;9766
2018-03-14;9766
